engine_type,count
I4,146772
V6,80177
V8,38984
H4,13026
I4 Hybrid,5706
I3,5113
I6,3701
V8 Biodiesel,1393
I6 Diesel,858
V6 Diesel,844
I4 Diesel,788
I5,705
H6,567
V8 Diesel,419
V6 Hybrid,316
V12,254
V6 Biodiesel,214
V10,113
I2,50
