city,count
Johnstown,197
Hawthorne,197
Flemington,194
Ontario,194
Yorktown Heights,192
Sayville,191
South Yarmouth,190
Wappingers Falls,188
Saint Louis,187
York,185
Tiverton,184
Willimantic,184
Lawrence,184
Comstock,183
Yarmouth,183
Brookline,182
South Paris,182
Monsey,182
Goshen,181
Winchester,180
Salisbury,179
Copiague,178
West Caldwell,177
Bow,177
Ozone Park,175
Saint Marys,175
Rahway,173
Lyme,171
Southold,171
Shelby Township,169
North Franklin,169
Fairhaven,168
Niles,166
Livonia,166
Green Brook,166
Bedford Hills,164
Roselle,164
Union City,164
Windsor Locks,164
Harriman,163
Stoughton,163
Houston,162
Calais,161
Glens Falls,160
Charlton,159
Lynbrook,158
E Swanzey,158
Wellesley,158
Derby,155
Ellington,155
Malone,155
Goffstown,154
St Clair Shores,153
Pontiac,153
South Weymouth,153
Belford,151
Greenland,150
Topsham,149
Robbinsville,149
Lititz,147
Sturgis,146
Madison Heights,146
Hickory Hills,146
Ravena,144
Colchester,144
Ayer,144
Perry,143
Toms River,142
Monticello,140
Cincinnati,140
Oakland,138
Parsippany-Troy Hills,138
Zionsville,136
Newburgh,136
Hyannis Port,136
Caribou,136
Milton,135
Cumberland,135
Chesterfield,134
Queens Village,134
New Windsor,133
Weymouth,133
East Meadow,131
North Hampton,131
Ridgewood,131
Gloucester,129
Lawrenceville,129
Andover,129
Lexington,128
North Reading,127
Windsor,127
Teterboro,126
Pelham,125
Cobleskill,125
Columbus,125
Tipton,125
Hartsdale,125
West Hartford,124
Ligonier,124
Orangeburg,124
Clarkston,122
Saugus,121
Tyngsboro,121
Wayland,121
Niantic,119
Millerton,118
Columbia,115
Belmont,115
Southborough,115
Plainfield,114
Elmhurst,114
Carlstadt,114
North Manchester,113
Palmer,113
Inwood,113
Bloomingdale,113
Asbury Park,111
Holliston,110
Elmwood Park,109
Galesburg,109
Rutherford,108
Haskell,108
Osceola,108
Noblesville,108
New Milford,108
Queens,107
Ferndale,107
Newcastle,106
Vernon,106
Hadley,106
Shelby Charter Twp,106
Newtonville,106
Massapequa,105
Orleans,103
Charlotte,103
Marshall,103
Ludlow,102
Nappanee,102
Hampstead,101
Granger,100
Mohegan Lake,99
Dedham,99
Coventry,99
North Chelmsford,99
Indianapolis,98
Conway,97
Lafayette,95
South Richmond Hill,94
Colebrook,93
Franklin Square,93
Hillsboro,92
Middleboro,92
Westerly,91
Michigan Center,91
Newington,91
Glenmont,90
Pound Ridge,89
Mansfield,89
Ashland,89
Quincy,87
Hampton Falls,86
Winamac,85
Berne,84
Napoleon,84
Seymour,84
Berwick,83
Litchfield,83
Barkhamsted,83
Wabash,82
Saugerties,80
New Hampton,78
Larchmont,77
Lisbon,77
Biddeford,77
Corunna,76
New Carlisle,76
Bergenfield,76
Bloomfield,75
Tillson,75
Davisburg,75
Hollis,74
Groton,72
St Albans City,72
San Juan,71
Stafford Springs,71
Nelliston,71
Kentland,70
Allegan,70
Northborough,70
Barrington,70
Pompton Plains,70
Pembroke,70
Butler,69
Hyde Park,69
Blauvelt,68
Meredith,68
Midland Park,68
Woodbury,67
Clyde,67
Port Jefferson Station,67
Middleton,66
Bridgton,65
Hamden,65
Gas City,64
East Brookfield,64
Loudon,64
Ortonville,64
Kentwood,63
Manchester Center,63
Allston,63
Deer Park,63
Miami,63
Seabrook,60
Burton,59
Elizabethport,59
Garfield,59
Floral Park,59
Sacramento,57
Byron Center,57
Fort Montgomery,57
Rockaway,57
Topsfield,57
East Barre,56
Croton-On-Hudson,56
Feeding Hills,56
San Antonio,55
Oxford,53
Clinton,53
Tucson,53
Chichester,53
Roslyn Heights,53
Mount Sinai,53
Birmingham,52
West Sand Lake,52
Edison,52
Grand Rapids Charter Township,51
